Timestamp,Username,VideoID,Comment,Date,type
2025-08-26T06:44:34Z,@AtulKhawas-w1g,V8dcmc9NPEc,me watching in 2025 😂,2025-08-26T06:44:34Z,comment
2025-03-20T14:06:28Z,@ldr79ff62,V8dcmc9NPEc,Anyone on 2025😂,2025-03-20T14:06:28Z,comment
2025-01-15T15:26:18Z,@TondeGaemar,V8dcmc9NPEc,Anyone 2025😹,2025-01-15T15:26:18Z,comment
2024-01-15T16:20:33Z,@user-muskan801,V8dcmc9NPEc,My favouite repar,2024-01-15T16:20:33Z,comment
2025-09-23T06:31:19Z,@football2025-v6f,V8dcmc9NPEc,Bro was right😮,2025-09-23T06:31:19Z,comment
2024-03-26T08:03:08Z,@avishekGamer69,V8dcmc9NPEc,Words 🔥,2024-03-26T08:03:08Z,comment
2023-12-26T14:28:25Z,@santosgiri9735,V8dcmc9NPEc,2023 and still dope 🎉,2023-12-26T14:28:25Z,comment
2021-03-31T14:58:31Z,@rijan77ff27,V8dcmc9NPEc,😂😂😂🤣🤣🤣🤣,2021-03-31T14:58:31Z,comment
2024-03-11T12:39:52Z,@SantoshSetiHarmel,V8dcmc9NPEc,Khukuri🗡️,2024-03-11T12:39:52Z,comment
2021-09-28T03:43:08Z,@shivzoc1205,V8dcmc9NPEc,Good bro,2021-09-28T03:43:08Z,comment
2024-12-19T14:36:14Z,@bishaljhakri7340,V8dcmc9NPEc,Same bro,2024-12-19T14:36:14Z,comment
2022-05-10T20:29:00Z,@ridersurajchetry0.237,V8dcmc9NPEc,💪💪💪,2022-05-10T20:29:00Z,comment
2024-08-17T12:16:33Z,@RamlalChand-z2t,V8dcmc9NPEc,Legend dai sacar 😊❤❤,2024-08-17T12:16:33Z,comment
2022-06-22T07:30:27Z,@pagalboy3825,V8dcmc9NPEc,Wow sacar daii op,2022-06-22T07:30:27Z,comment
2023-02-19T11:51:28Z,@yamimagurungtilyamima1651,V8dcmc9NPEc,Ur Legend Rapper Sacar Vai I'm Sporting Me Already 👊,2023-02-19T11:51:28Z,comment
2025-09-10T06:25:21Z,@Missionmgr,V8dcmc9NPEc,Finally Bishal bazar ma aago lagyo,2025-09-10T06:25:21Z,comment
2025-03-09T02:31:41Z,@RambchandThkuree,V8dcmc9NPEc,sahi bro❤❤,2025-03-09T02:31:41Z,comment
2025-04-19T21:32:06Z,@Feelbit,V8dcmc9NPEc,Seen me 2025😂,2025-04-19T21:32:06Z,comment
2021-12-05T19:15:55Z,@dj7official454,V8dcmc9NPEc,Real legend❤️,2021-12-05T19:15:55Z,comment
2023-04-12T02:47:05Z,@aruntamang2933,V8dcmc9NPEc,Sahi  ho bor❤,2023-04-12T02:47:05Z,comment
2024-01-20T08:09:12Z,@Bimal_Jung_Chhetri,V8dcmc9NPEc,"He is very courageous
Can shout to PRACHANDEY openly 😂",2024-01-20T08:09:12Z,comment
2021-10-11T13:19:17Z,@kingpandaff07,V8dcmc9NPEc,Hhahahahhhah🤣🤣🤣🤣🤣,2021-10-11T13:19:17Z,comment
2025-06-26T08:27:06Z,@JbKarki-d7n,V8dcmc9NPEc,Anyone from 2025,2025-06-26T08:27:06Z,comment
2021-09-30T15:32:15Z,@narjitkc9575,V8dcmc9NPEc,Very good,2021-09-30T15:32:15Z,comment
2023-01-05T16:47:32Z,@cabbage4noodles,V8dcmc9NPEc,🔥🔥🔥😹,2023-01-05T16:47:32Z,comment
2021-07-21T03:30:13Z,@nabingurung6139,V8dcmc9NPEc,😆😆😆😆😆👍👍,2021-07-21T03:30:13Z,comment
2021-03-04T17:54:49Z,@anishgajmer8051,V8dcmc9NPEc,Sahi Ho hai,2021-03-04T17:54:49Z,comment
2024-07-11T20:28:24Z,@SagarDevkota-b5l,V8dcmc9NPEc,❤❤❤❤😮,2024-07-11T20:28:24Z,comment
2023-02-10T09:08:00Z,@gamingxvampireff777,V8dcmc9NPEc,Full Gali 😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2023-02-10T09:08:00Z,comment
2024-02-29T00:33:43Z,@rubitamang8052,V8dcmc9NPEc,Dope🤣🤣,2024-02-29T00:33:43Z,comment
2022-06-10T12:10:52Z,@kalemahato9231,V8dcmc9NPEc,Khukhuri gang jai ho,2022-06-10T12:10:52Z,comment
2024-08-13T12:32:36Z,@RekhaBhandari-up6xs,V8dcmc9NPEc,Yes ❤❤dai,2024-08-13T12:32:36Z,comment
2022-06-10T10:32:51Z,@kalemahato9231,V8dcmc9NPEc,Big fan sacar,2022-06-10T10:32:51Z,comment
2021-05-07T17:14:47Z,@mrpirate855,V8dcmc9NPEc,🤣😂🤣🤣😂🤣🤣😂🤣😂🤣😂,2021-05-07T17:14:47Z,comment
2024-05-07T03:46:52Z,@snopdogvlogs,V8dcmc9NPEc,Anyone in 2024😂 search hani hani 🎉❤,2024-05-07T03:46:52Z,comment
2024-07-09T12:12:02Z,@ArjunYonghang-k2s,V8dcmc9NPEc,Some points are good,2024-07-09T12:12:02Z,comment
